,NIFTY OPTION CHAIN ANALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,Find Similer Indicator here,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SYMBOL,EXPIRY,LOT SIZE,STRIKE DIFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NIFTY,11-Jul-24,25,100,,,,,,,,SPOT PRICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,24381.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALL* LTP,CALLS Strength %,CALL,,,,,,,,Diff OI CHNG,Trigger,,,PUT,,,,,,,,PUT*LTP,PUT Strength %,Volume based Strength,Master Indicator,Volume & LTP Indicator,BID Price Indicator,CALL,,,,,,,PUT,,,,,,,
,,,OI,CHNG IN OI,VOLUME,LTP,Bid Qty,Bid Price,Ask Qty,Ask Price,,,,STRIKE,OI,CHNG IN OI,VOLUME,LTP,Bid Qty,Bid Price,Ask Qty,Ask Price,,,,,,,Bid Price,Bid Qty,Total Bid Value,Ask Price,Ask Qty,Total Ask Value,CALL BID Strength,Bid Price,Bid Qty,Total Bid Value,Ask Price,Ask Qty,Total Ask Value,PUT Ask Value,
22800,6407,0.00%,275,0,4,1601.80,100,1568,50,1642,-22344,CALL,PUT,22800,18523,4096,27838,1.30,3500,1,9125,1,36189,0.01%,0.01%,Wait,PUT,CALL,156770,100,15677000,82077.5,50,4103875,11573125,4550,3500,15925000,12318.75,9125,112408594,-96483594,-29782
22900,49088,0.01%,323,4,33,1487.50,25,1482,25,1524,-5248,CALL,CALL,22900,5162,413,13588,1.35,4725,1,4800,1,18344,0.01%,0.01%,CALL,CALL,CALL,37045,25,926125,38088.75,25,952219,-26094,6378.75,4725,30139594,6720,4800,32256000,-2116406,30744
23000,634359,0.16%,3142,36,452,1403.45,50,1400,100,1406,-116066,PUT,CALL,23000,94597,24647,116597,1.50,192300,2,76100,2,174896,0.05%,0.16%,Wait,CALL,PUT,69982.5,50,3499125,140615,100,14061500,-10562375,288450,192300,55468935000,117955,76100,8976375500,46492559500,459464
23100,10592,0.00%,517,0,8,1324.05,25,1299,100,1307,-20260,PUT,PUT,23100,17851,2926,42050,1.55,47425,2,31050,2,65178,0.02%,0.02%,PUT,PUT,PUT,32485,25,812125,130735,100,13073500,-12261375,71137.5,47425,3373695938,48127.5,31050,1494358875,1879337063,-54585
23200,47510,0.01%,1324,1,38,1250.25,25,1200,25,1228,-40687,CALL,PUT,23200,39251,2761,78567,1.60,21825,2,61575,2,125707,0.03%,0.03%,Wait,PUT,CALL,30010,25,750250,30696.25,25,767406,-17156,34920,21825,762129000,101598.75,61575,6255943031,-5493814031,-78198
23300,35336,0.01%,1522,-3,32,1104.25,50,1102,25,1108,-66720,PUT,PUT,23300,48782,19457,103082,1.70,63650,2,37725,2,175239,0.05%,0.05%,PUT,PUT,PUT,55075,50,2753750,27702.5,25,692563,2061188,108205,63650,6887248250,66018.75,37725,2490557344,4396690906,-139903
23400,141035,0.04%,1338,9,141,1000.25,100,1004,100,1008,-60704,CALL,PUT,23400,51553,10498,99727,2.05,11225,2,21750,2,204440,0.06%,0.06%,Wait,PUT,CALL,100365,100,10036500,100805,100,10080500,-44000,23011.25,11225,258301281,45675,21750,993431250,-735129969,-63405
23500,842814,0.21%,6401,104,925,911.15,25,904,125,907,-181385,PUT,PUT,23500,174334,13556,265865,2.60,32375,3,7025,3,691249,0.19%,0.21%,Wait,CALL,PUT,22608.75,25,565219,113337.5,125,14167188,-13601969,82556.25,32375,2672758594,18265,7025,128311625,2544446969,151565
23600,118175,0.03%,1530,7,145,815.00,100,805,25,810,-65574,PUT,PUT,23600,61391,5720,108546,3.60,9950,4,8200,4,390766,0.11%,0.11%,PUT,PUT,PUT,80505,100,8050500,20237.5,25,505938,7544563,35322.5,9950,351458875,29520,8200,242064000,109394875,-272591
23700,565200,0.14%,3137,12,785,720.00,50,707,25,710,-144543,CALL,PUT,23700,102403,45289,274119,5.15,9900,5,11250,5,1411713,0.39%,0.39%,Wait,PUT,CALL,35325,50,1766250,17751.25,25,443781,1322469,49995,9900,494950500,57375,11250,645468750,-150518250,-846513
23800,841040,0.21%,4274,-108,1389,605.50,25,609,25,612,-123845,PUT,PUT,23800,96907,31104,305569,7.50,13700,7,12675,8,2291768,0.63%,0.63%,PUT,PUT,PUT,15233.75,25,380844,15305,25,382625,-1781,102065,13700,1398290500,95696.25,12675,1212949969,185340531,-1450728
23900,988890,0.25%,4082,300,1939,510.00,125,515,100,517,-72900,CALL,PUT,23900,67257,10025,233252,11.50,3175,11,5250,12,2682398,0.74%,0.74%,Wait,PUT,CALL,64400,125,8050000,51700,100,5170000,2880000,36353.75,3175,115423156,60637.5,5250,318346875,-202923719,-1693508
24000,7968897,2.03%,22661,260,18839,423.00,125,422,25,424,-180609,CALL,CALL,24000,171128,32402,396981,18.60,2475,19,5400,19,7383847,2.04%,2.04%,CALL,CALL,CALL,52806.25,125,6600781,10598.75,25,264969,6335813,45911.25,2475,113630344,100710,5400,543834000,-430203656,585050
24100,7046390,1.79%,11387,306,21034,335.00,125,334,25,335,-94812,CALL,PUT,24100,85682,20823,356448,29.90,1225,30,1975,30,10657795,2.94%,2.94%,Wait,PUT,CALL,41768.75,125,5221094,8377.5,25,209438,5011656,36566.25,1225,44793656,59151.25,1975,116823719,-72030063,-3611405
24200,28130991,7.16%,65877,-547,111058,253.30,250,253,150,253,-121635,PUT,CALL,24200,152472,34493,516543,48.00,975,48,675,48,24794064,6.84%,7.16%,Wait,CALL,PUT,63175,250,15793750,37995,150,5699250,10094500,46702.5,975,45534938,32400,675,21870000,23664938,3336927
24300,83536164,21.26%,109707,12902,462292,180.70,125,181,125,181,-139135,CALL,CALL,24300,190257,71487,793737,75.45,650,76,975,76,59887457,16.51%,21.26%,CALL,CALL,CALL,22562.5,125,2820313,22600,125,2825000,-4688,49107.5,650,31919875,73807.5,975,71962313,-40042438,23648708
24400,160934978,40.96%,239794,111642,1331692,120.85,1125,121,400,121,39938,PUT,CALL,24400,188752,122746,1318008,115.00,1300,115,250,115,151570920,41.79%,41.79%,Wait,CALL,PUT,135675,1125,152634375,48340,400,19336000,133298375,149500,1300,194350000,28800,250,7200000,187150000,9364058
24500,63264319,16.10%,163141,52164,858986,73.65,50,74,675,74,117291,PUT,PUT,24500,70202,27812,379420,168.75,650,169,275,169,64027125,17.65%,17.65%,PUT,PUT,PUT,3677.5,50,183875,49747.5,675,33579563,-33395688,109817.5,650,71381375,46543.75,275,12799531,58581844,-762806
24600,20846776,5.31%,106934,30825,510325,40.85,550,41,1250,41,109211,CALL,PUT,24600,17718,10830,94072,235.80,150,235,500,236,22182178,6.12%,6.12%,Wait,PUT,CALL,22385,550,12311750,51000,1250,63750000,-51438250,35272.5,150,5290875,117825,500,58912500,-53621625,-1335401
24700,7947153,2.02%,103838,39930,387666,20.50,100,21,4400,21,130695,PUT,PUT,24700,7616,5457,25934,317.35,50,315,250,316,8230155,2.27%,2.27%,PUT,PUT,PUT,2055,100,205500,90640,4400,398816000,-398610500,15767.5,50,788375,79062.5,250,19765625,-18977250,-283002
24800,4327005,1.10%,126576,21924,446083,9.70,2275,10,9550,10,145191,PUT,CALL,24800,2385,924,6682,408.45,150,404,250,405,2729263,0.75%,1.10%,Wait,CALL,PUT,22067.5,2275,50203563,93112.5,9550,889224375,-839020813,60525,150,9078750,101225,250,25306250,-16227500,1597742
24900,1803000,0.46%,88226,35100,379579,4.75,475,5,16100,5,122666,PUT,CALL,24900,558,102,737,499.90,100,497,50,501,368426,0.10%,0.46%,Wait,CALL,PUT,2256.25,475,1071719,77280,16100,1244208000,-1243136281,49715,100,4971500,25035,50,1251750,3719750,1434574
25000,1486705,0.38%,241177,50759,512657,2.90,15250,3,25700,3,287783,PUT,PUT,25000,3329,824,3895,602.80,50,596,75,598,2347906,0.65%,0.65%,PUT,PUT,PUT,43462.5,15250,662803125,74530,25700,1915421000,-1252617875,29815,50,1490750,44865,75,3364875,-1874125,-861201
25100,417590,0.11%,86061,31407,238623,1.75,115075,2,40575,2,117441,CALL,CALL,25100,30,-3,37,686.15,50,693,50,700,25388,0.01%,0.11%,CALL,CALL,CALL,201381.25,115075,23173947344,73035,40575,2963395125,20210552219,34655,50,1732750,35000,50,1750000,-17250,392203
25200,247216,0.06%,62155,14012,176583,1.40,129350,1,48475,1,76098,CALL,CALL,25200,51,18,35,795.40,50,793,100,799,27839,0.01%,0.06%,CALL,CALL,CALL,181090,129350,23423991500,70288.75,48475,3407247156,20016744344,39660,50,1983000,79885,100,7988500,-6005500,219377
25300,114001,0.03%,53694,5427,95001,1.20,85475,1,58550,1,58991,CALL,CALL,25300,115,15,41,915.00,25,893,50,899,37515,0.01%,0.03%,CALL,CALL,CALL,98296.25,85475,8401871969,70260,58550,4113723000,4288148969,22323.75,25,558094,44950,50,2247500,-1689406,76486
25400,117997,0.03%,43091,-1489,117997,1.00,65575,1,78725,1,41602,PUT,CALL,25400,0,0,0,0.00,1800,972,1800,1022,0,0.00%,0.03%,Wait,CALL,PUT,65575,65575,4300080625,82661.25,78725,6507506906,-2207426281,1749150,1800,3148470000,1839420,1800,3310956000,-162486000,117997
25500,146208,0.04%,71751,2331,153903,0.95,404275,1,142775,1,73991,CALL,CALL,25500,122,-31,56,1080.00,525,1091,125,1098,60480,0.02%,0.04%,CALL,CALL,CALL,384061.25,404275,155266361844,142775,142775,20384700625,134881661219,572565,525,300596625,137237.5,125,17154688,283441938,85728
25600,28411,0.01%,17051,4955,31568,0.90,43275,1,9175,1,22006,PUT,CALL,25600,0,0,0,0.00,1800,1171,50,1222,0,0.00%,0.01%,Wait,CALL,PUT,36783.75,43275,1591816781,8257.5,9175,75762563,1516054219,2108250,1800,3794850000,61085,50,3054250,3791795750,28411
25700,16790,0.00%,8618,829,20988,0.80,12075,1,14350,1,9447,CALL,CALL,25700,0,0,0,0.00,1800,1271,1800,1322,0,0.00%,0.00%,CALL,CALL,CALL,9056.25,12075,109354219,11480,14350,164738000,-55383781,2287800,1800,4118040000,2379060,1800,4282308000,-164268000,16790
25800,27582,0.01%,19932,14734,39403,0.70,127725,1,82450,1,34626,CALL,CALL,25800,40,0,0,0.00,50,1371,1800,1422,0,0.00%,0.01%,CALL,CALL,CALL,83021.25,127725,10603889156,57715,82450,4758601750,5845287406,68540,50,3427000,2558880,1800,4605984000,-4602557000,27582
25900,23695,0.01%,13954,9962,39492,0.60,211575,1,25175,1,23916,CALL,CALL,25900,0,0,0,0.00,1800,1471,1800,1522,0,0.00%,0.01%,CALL,CALL,CALL,126945,211575,26858388375,16363.75,25175,411957406,26446430969,2646900,1800,4764420000,2738790,1800,4929822000,-165402000,23695
26000,155387,0.04%,124607,20099,282521,0.55,903875,1,328850,1,144637,CALL,CALL,26000,41,28,38,1595.90,100,1587,25,1600,60644,0.02%,0.04%,CALL,CALL,CALL,497131.25,903875,449344508594,197310,328850,64885393500,384459115094,158710,100,15871000,40011.25,25,1000281,14870719,94742
,392867703,,1808097,457894,6242181,14208,,,,,,,,,1668509,498419,5561464,7634,,,,,362658887,,,,,,,,704037327938,,,112310760719,591726567219,,,,,,,47554607000,30208816
,,,2265991,,,,Overall OI Change Diff,,,,,,,,2166928,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,15-08-2024 15:32,,,,,,40525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stick Price,Strick price,Call Volume.LTP,PUT Volume.LTP,Date and Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24400,160934978,151570920,15-08-2024 15:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
